Price,Close,High,Low,Open,Volume
Ticker,LOW,LOW,LOW,LOW,LOW
Date,,,,,
2000-03-14,7.467651844024658,7.709965030703924,7.4235949009920645,7.709965030703924,16791200
2000-03-15,7.985330581665039,8.018373328899514,7.379546882366312,7.489689373147899,8727200
2000-03-16,8.822409629821777,8.833423874053764,8.117497998974594,8.13952648743857,14981600
2000-03-17,9.064715385437012,9.130800795294391,8.657188691316515,8.82240221595996,11352400
2000-03-20,8.910520553588867,9.020662958453995,8.635164541426047,8.855449351156302,5954800
2000-03-21,8.965591430664062,9.17486199231347,8.833420549622332,8.91052023023001,6768000
2000-03-22,8.888493537902832,9.053707172436342,8.712265661067088,8.965593234018469,5772800
2000-03-23,9.262979507446289,9.285007996167922,8.800381244292016,8.877480954817727,6551600
2000-03-24,9.472247123718262,9.604418013816655,9.174862620996874,9.262976547729137,6501600
2000-03-27,9.4171724319458,9.48325785252086,9.296015827558193,9.307030064320703,4846400
2000-03-28,9.428190231323242,9.593403845189886,9.307033581154368,9.307033581154368,4895200
2000-03-29,9.703543663024902,9.714557901007904,9.351088047568833,9.406159237483843,8736400
2000-03-30,10.221209526062012,10.232223760465095,9.626440868295472,9.670497805907807,10424000
2000-03-31,10.287303924560547,10.551645781294436,10.100061776040707,10.551645781294436,8662400
2000-04-03,10.661784172058105,10.683812651752442,10.29831425710158,10.29831425710158,9733200
2000-04-04,10.518600463867188,10.584685911807714,9.945859915049288,10.507586222543766,10627200
2000-04-05,10.507589340209961,10.518603584801376,10.144119268693265,10.397446894295811,6770000
2000-04-06,10.584686279296875,10.628743246120171,10.177159336181386,10.397444170297867,5821200
2000-04-07,10.683815002441406,10.727871971523639,10.342373492054104,10.595701064276941,6984800
2000-04-10,10.826996803283691,10.882067997603546,10.573669309412352,10.661783220324123,6142000
2000-04-11,10.727869033813477,10.749897512322335,10.441498813198333,10.584683923505905,5466800
2000-04-12,11.196906089782715,11.858140701384057,10.943432822002201,10.954453398862224,18190000
2000-04-13,10.49158763885498,11.218945605414254,10.31525843484061,11.196904454912458,14047200
2000-04-14,10.00393009185791,10.315261433190862,9.709129618206356,10.315261433190862,8528800
2000-04-17,9.598921775817871,9.698106960642624,9.25728391697705,9.698106960642624,8522800
2000-04-18,9.703619003295898,9.81933439251793,9.268305526495599,9.422593608981852,8235600
2000-04-19,9.665045738220215,9.830354388246786,9.499737088193642,9.676066314888653,4142800
2000-04-20,9.753211975097656,9.764232553600593,9.565862140547758,9.620965033062435,4858400
2000-04-24,9.962599754333496,10.315258152716982,9.786270555141751,9.874435154737624,5954400
2000-04-25,9.654022216796875,9.786269096479023,9.543816483728417,9.786269096479023,10697600
2000-04-26,9.598921775817871,9.830353873742297,9.565860047542952,9.631983504092789,14176800
2000-04-27,9.422588348388672,9.466670633059495,9.246259209705375,9.433608919556377,10800400
2000-04-28,8.728300094604492,9.323411464691162,8.728300094604492,9.3013703028361,13520800
2000-05-01,9.16911506652832,9.235238492488861,8.662168800830841,8.81645679473877,9855200
2000-05-02,8.970748901367188,9.290345606698452,8.849522564862225,9.213201574377111,6044800
2000-05-03,8.463805198669434,8.706257951756319,8.254414184639852,8.684216792384785,11457600
2000-05-04,8.353596687316895,8.574008209409689,8.287473230689056,8.55196705720041,8130400
2000-05-05,8.430744171142578,8.47482649360607,8.298497203752106,8.298497203752106,5519600
2000-05-08,8.65114688873291,8.728290873727982,8.298488671612589,8.364612087322648,5563600
2000-05-09,8.684216499328613,8.904628085605989,8.607072444131532,8.728298816584088,7609200
2000-05-10,8.551968574523926,8.805441869902856,8.507886262284112,8.695236089303322,5355600
2000-05-11,8.585026741027832,8.629109034948387,8.485841579706587,8.629109034948387,4499200
2000-05-12,8.458292961120605,8.640131796959949,8.375637966440767,8.629111220688316,6781200
2000-05-15,8.937689781188965,8.959730939712243,8.618092982601445,8.662175299647998,9730000
2000-05-16,8.772380828857422,9.069936459987007,8.640133881688717,8.926668933887578,8456000
2000-05-17,8.507887840270996,8.772381762766468,8.298496818295414,8.728299442350556,6486000
2000-05-18,8.640134811401367,8.772381772800369,8.452784949419451,8.452784949419451,6997600
2000-05-19,8.485844612121582,8.651153273396679,8.430741725029884,8.507885766958262,7466000
2000-05-22,8.61809253692627,8.61809253692627,8.309516333558065,8.551969064775939,6952000
2000-05-23,8.518903732299805,8.750335787122957,8.463800862103817,8.629109472691782,5608400
2000-05-24,8.078083992004395,8.540948286225657,7.7474666389892075,8.540948286225657,10976000
2000-05-25,8.243390083312988,8.36461640806759,8.122163758558385,8.133184333536077,8742800
2000-05-26,8.067055702209473,8.309508195991725,7.989911726915119,8.287467060193338,4925600
2000-05-30,8.2874755859375,8.364619640593833,8.022981684258642,8.133187476624833,4060800
2000-05-31,8.210329055786133,8.375637694493236,8.210329055786133,8.243390783527554,4545200
2000-06-01,8.45278263092041,8.45278263092041,8.199309357763736,8.23237108904504,5253600
2000-06-02,8.948707580566406,9.058913338947766,8.838501822185046,8.860542973861318,9062400
2000-06-05,8.772380828857422,8.97075124961048,8.596051565965816,8.97075124961048,5963200
