Price,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO
Date,,,,,
2000-02-10,13.260863304138184,13.566883226541371,13.107853342936588,13.311866624538714,320800
2000-02-11,13.158856391906738,13.464876307997594,13.056849753209788,13.464876307997594,314100
2000-02-14,13.36286735534668,13.566880597413041,13.005844181730547,13.056847492247137,455700
2000-02-15,13.56688117980957,13.719891117927723,13.260861303573265,13.362867928985366,400600
2000-02-16,13.413875579833984,13.566885567436653,13.260865592231315,13.362872250633094,207400
2000-02-17,13.005844116210938,13.617883839326746,13.005844116210938,13.311863977768843,301600
2000-02-18,12.801831245422363,13.209857739300366,12.597817998483361,13.107851115830865,427300
2000-02-22,13.464876174926758,13.617886131460017,12.648823073416047,12.648823073416047,381100
2000-02-23,13.36286735534668,13.51587728689645,13.158854113280318,13.36286735534668,279900
2000-02-24,13.1078462600708,13.31185943143377,12.699819917344863,13.31185943143377,366700
2000-02-25,12.699828147888184,13.209861406839517,12.444811518412518,13.056851429154117,328400
2000-02-28,12.750828742980957,12.903838687896728,12.546815483093262,12.852835372924805,251900
2000-02-29,12.750828742980957,12.80183205795288,12.495812168121338,12.597818798065186,397900
2000-03-01,14.076916694641113,14.076916694641113,12.495813732561858,12.59782037527665,1992700
2000-03-02,16.423070907592773,16.93310416559255,14.229927898193738,14.280931223993717,3375200
2000-03-03,17.902164459228516,18.055174411871494,16.678084838084686,16.933101425822983,2213800
2000-03-06,17.596145629882812,18.055175515879753,17.392132347217505,17.902165553880774,1332600
2000-03-07,19.58527374267578,19.84029032786687,18.10617754856745,18.15718086560567,3750500
2000-03-08,21.421390533447266,21.931423641386488,20.04430114201137,20.29931769598098,4482700
2000-03-09,21.11536979675293,21.5233962662554,20.350320166435793,21.01336317937731,2179700
2000-03-10,21.064367294311523,21.523397090071338,20.707344119831667,21.013363983671542,1527200
2000-03-13,20.401329040527344,20.962365589141847,20.044305782318116,20.45233236312866,1948700
2000-03-14,18.718215942382812,20.197312025023415,18.514202689604797,20.197312025023415,1144000
2000-03-15,18.616212844848633,19.33025936492502,18.565209521986034,19.177249396337224,529500
2000-03-16,18.820226669311523,19.07524329084691,18.66721669639029,18.71822002069737,583100
2000-03-17,18.3101863861084,18.667209518985164,18.157176472018357,18.616206214288482,503600
2000-03-20,18.157175064086914,18.36118826705418,18.00416516186146,18.157175064086914,475800
2000-03-21,17.086116790771484,18.565213468181554,16.372070118918348,18.36120013336637,1960000
2000-03-22,17.086116790771484,17.34113345929046,16.882103455956305,16.933106789660098,478200
2000-03-23,17.902164459228516,18.055174411871494,16.984104743370644,17.08611137846596,973700
2000-03-24,17.85115623474121,17.953162841796875,17.749149627685547,17.80015293121338,651900
2000-03-27,17.392127990722656,18.4121941485363,17.188114759159927,17.74915114595743,340600
2000-03-28,16.831090927124023,17.69814712640011,16.627077703764943,17.137110762162642,429700
2000-03-29,16.0660457611084,17.08611215863909,15.658019202096122,16.780092239379883,926200
2000-03-30,16.015039443969727,16.117046064631953,15.760022892314158,16.117046064631953,767300
2000-03-31,16.6270751953125,16.67807849345763,16.015035617570934,16.015035617570934,526500
2000-04-03,16.321054458618164,16.83108741044998,16.321054458618164,16.42306104898453,523900
2000-04-04,15.913031578063965,16.576074560483296,15.096978676624786,16.3720613351235,878500
2000-04-05,16.168046951293945,16.168046951293945,15.505004016382838,15.607010621753778,319700
2000-04-06,16.423070907592773,16.72909086239264,16.168054278592887,16.168054278592887,649600
2000-04-07,17.494131088256836,17.494131088256836,16.627075028489006,16.729081623755807,653000
2000-04-10,17.188114166259766,17.494134003047773,17.03510424786576,17.443130696916437,1075800
2000-04-11,16.831090927124023,17.23911737384218,16.729084315444485,17.18811406800241,493500
2000-04-12,16.168046951293945,16.933096491575995,16.015037043237538,16.729083280834114,1039300
2000-04-13,16.0660457611084,16.42306900024414,16.0660457611084,16.219055720738,290800
2000-04-14,15.0969877243042,15.964044451713562,14.688961029052734,15.913041114807129,938800
2000-04-17,15.045981407165527,15.045981407165527,14.484944812322068,14.943974753557626,533300
2000-04-18,15.556010246276855,15.556010246276855,14.892967186599481,15.045977123448106,364900
2000-04-19,15.556010246276855,15.913033432256979,15.50500693399398,15.50500693399398,315700
