Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.72671890258789,36.358880684778455,34.3283004147118,35.97575233193569,53228400
2000-01-04,34.519866943359375,35.899129107577956,34.4049284296745,34.80721322757158,54119000
2000-01-05,34.883827209472656,35.66924012303025,33.52372192014121,34.06010147086347,64059600
2000-01-06,33.71530532836914,34.90300358425487,33.21723831783641,34.385780150240116,54976600
2000-01-07,34.15590286254883,34.404936366313905,32.89157892035689,33.29386381105433,62013600
2000-01-10,34.40492248535156,34.84552004501921,34.136732666423434,34.76889438246831,44963600
2000-01-11,33.52374267578125,35.017943777901785,33.313022007533476,34.17506110491071,46743600
2000-01-12,32.431819915771484,33.370484520539826,32.010378664651,33.255545997506964,66532400
2000-01-13,33.04482650756836,33.29385998269786,31.11002797002378,31.991223343558936,83144000
2000-01-14,34.40492248535156,34.9221457075701,32.41265525902831,32.85325281869596,73416400
2000-01-18,35.343589782714844,35.70756171001651,34.251674000809835,34.27083041803624,81483600
2000-01-19,32.79578399658203,34.17504594036352,32.48928134240837,33.868543286189855,97568200
2000-01-20,32.48931121826172,33.619540794840404,32.45099835125905,32.814970587784394,56349800
2000-01-21,31.799663543701172,32.87242327770555,31.646412153129116,32.795797582419524,68416200
2000-01-24,31.03339958190918,32.39350536605458,30.89930464544414,31.81402367633066,63597600
2000-01-25,31.512306213378906,31.837965304945737,30.516172521527412,30.95677011600019,59823200
2000-01-26,30.458702087402344,31.72302557027565,30.382076421773657,31.397366491353736,49365000
2000-01-27,30.267152786254883,31.014253393004214,29.807398566716834,30.616757557361943,63654800
2000-01-28,30.11390495300293,30.72691065179179,29.807402103608496,30.075592096828625,58225400
2000-01-31,29.99895477294922,30.094736876311128,29.079446580674915,29.922329090259694,73194200
2000-02-01,31.550621032714844,31.646403124496004,29.941481890791316,30.190515329422336,70196600
2000-02-02,30.89931297302246,31.857134205912185,30.80353084973349,31.39738001412512,49915600
2000-02-03,31.7613468170166,31.933754610353844,30.688587214029308,31.282436279968703,49186000
2000-02-04,32.66169738769531,33.10229506506598,31.91938608342951,31.991222661261684,55365400
2000-02-07,32.68084716796875,32.757472835420025,31.95290332718164,32.738316418557204,40005800
2000-02-08,33.69614028930664,33.715296707890666,32.62338084860103,32.62338084860103,56229000
2000-02-09,31.876291275024414,33.54290025394696,31.83797842493424,33.54290025394696,55090000
2000-02-10,32.48931121826172,32.66171911977372,31.41655094218704,31.842781587591713,54527800
2000-02-11,30.63111686706543,32.14447411065403,30.382083396601484,32.14447411065403,115559000
2000-02-14,30.53533172607422,31.186649968663,30.362923955977188,31.028609512740722,81028600
2000-02-15,30.20968246459961,30.650280243094087,30.075587488536073,30.573654542486352,71027600
2000-02-16,29.92232894897461,30.707742192833734,29.769077584319167,30.420395884104785,65202600
2000-02-17,30.53533172607422,30.554488144973888,29.77386407481233,30.190516185880156,80343400
2000-02-18,29.13691520690918,30.66942882725943,29.079445946146045,30.65027240700505,79063000
2000-02-22,28.7537784576416,29.76906843649237,28.44727582251684,29.15606316624285,66296200
2000-02-23,28.887880325317383,29.347634388850285,28.2174056493319,28.658003293550934,75847200
2000-02-24,29.041122436523438,29.385937874424112,28.198240254988455,28.887871130789804,69733200
2000-02-25,27.987524032592773,29.026759610120603,27.738490622309605,29.021970506076695,65301400
2000-02-28,28.06415557861328,28.236563360324897,27.010552468153396,27.661870754619507,76131800
2000-02-29,27.39366912841797,28.121612783578726,27.24041783259465,28.121612783578726,58437400
2000-03-01,27.834270477294922,28.83998224608913,27.259578037983943,27.470298599064634,106889800
2000-03-02,28.619691848754883,29.23269729665325,27.930060719869225,28.140781342584287,106932600
2000-03-03,29.462568283081055,30.305450600672447,28.77293729596082,29.041127124285353,101435200
2000-03-06,27.77680206298828,29.845694906300512,27.62355074126145,29.424253771551726,93609400
2000-03-07,28.466442108154297,29.884017287160635,28.179095788085444,29.46257601772632,135061000
2000-03-08,29.2901668548584,29.481731059272125,27.891748162638216,28.753787082499972,94290000
2000-03-09,30.650259017944336,30.650259017944336,29.11774606704712,29.213528126478195,88198800
2000-03-10,30.956769943237305,31.416523952295282,30.497015934179323,30.516172351223407,85589000
2000-03-13,30.037263870239258,30.726894928484544,29.884012523962525,29.92232536053171,61831800
2000-03-14,29.156057357788086,30.42038047579992,29.156057357788082,30.228816367010246,73489200
2000-03-15,29.232696533203125,29.615824928133705,28.715473200046844,28.98366307649825,53208000
2000-03-16,29.232696533203125,29.634981347880235,28.581378261821143,29.405104310921885,77300800
2000-03-17,30.458702087402344,30.497014920216685,28.964501607642983,29.19437860452904,81161600
2000-03-20,29.845703125,30.57364710365854,29.577513238125803,30.267144375802314,47773000
2000-03-21,31.49315071105957,31.608089217304315,29.577508940313855,29.654134611143686,81648800
2000-03-22,31.646394729614258,32.37433843404848,30.99507667827837,31.51229983669216,93975800
2000-03-23,34.28999328613281,34.59649601941668,32.6808539363925,32.73832319888323,148224000
2000-03-24,34.23252868652344,35.247819128821,33.58121028957783,34.519875038117085,112196800
2000-03-27,31.895444869995117,33.17892523413306,31.857132023304434,33.03046295320666,111434000
2000-03-28,31.972074508666992,32.929895794127354,31.378225311681565,31.76135382586571,81114400
2000-03-29,32.853267669677734,33.389647549999005,32.221105667870525,32.24026209216771,64363800
2000-03-30,31.68470573425293,33.293844356790565,31.416515963829994,32.54674428204095,64178400
2000-03-31,32.56589889526367,33.178904050939224,31.9145809173584,32.48927325080423,64281400
2000-04-03,27.853431701660156,29.577509317306244,27.585241850337432,28.94534752490268,260118200
2000-04-04,27.14464569091797,28.198248734672724,26.033573390231137,28.06415380183121,181244400
2000-04-05,26.474163055419922,27.12548110454024,26.320911749744553,27.048855451702554,82887600
2000-04-06,26.359228134155273,26.972233439600746,26.134140248562016,26.933920608010403,66421400
2000-04-07,27.297895431518555,27.39367752075195,26.052728271484373,26.665733642578125,82613600
2000-04-10,26.37839126586914,27.163804513436776,26.35923484519676,27.163804513436776,60685400
2000-04-11,25.70792007446289,26.3783948901158,25.592981534636678,26.09104854055027,71961800
2000-04-12,24.328645706176758,25.209840747502845,24.137081566758045,25.171527919619102,153003800
2000-04-13,24.29033851623535,25.209846598868868,24.21371284268256,24.788405394328507,94316200
2000-04-14,22.719512939453125,24.366964973848546,22.451323073388753,24.252026459820957,151217800
2000-04-17,23.25588607788086,23.294198905027283,22.37469105351305,22.757819324977316,119772200
2000-04-18,24.692617416381836,25.114058520462827,23.255886379742083,23.447450517960718,91794600
2000-04-19,24.1179256439209,24.9799642888585,23.94551791493338,24.960807874526555,53715400
2000-04-20,24.194547653198242,24.48189382485143,23.75395018999669,24.098765595980513,52387400
2000-04-24,20.420738220214844,20.842179346710836,19.922671434355944,20.612302368622114,313645800
2000-04-25,21.263620376586914,21.30193320609428,20.72724076348382,21.072056229050094,159517400
2000-04-26,20.842178344726562,21.799999040715836,20.650614205528708,21.455183590159695,107091200
2000-04-27,21.397720336914062,21.43603317547613,20.650619984953767,20.669776404234803,77669800
2000-04-28,21.37856674194336,21.761695178178904,20.918812618460706,21.685069490931795,78082600
